timestamp,util,ipc,iowait,mpki,freq,power,action,source,rl_enabled
0.0,0.0,1.895,0.0,2.9,1387.9,-1.00,DO_NOTHING,BASELINE,0
0.5,48.1,1.870,0.0,0.9,1095.7,10.27,DO_NOTHING,BASELINE,0
1.0,41.6,2.050,0.0,0.4,1197.1,9.92,DO_NOTHING,BASELINE,0
1.5,46.8,1.912,0.0,0.6,1361.9,10.32,DO_NOTHING,BASELINE,0
2.0,44.7,1.939,0.0,0.6,1184.0,10.05,DO_NOTHING,BASELINE,0
2.5,49.9,1.825,0.2,1.3,1305.4,9.89,DO_NOTHING,BASELINE,0
3.0,44.3,1.998,0.1,0.5,1313.4,10.44,DO_NOTHING,BASELINE,0
3.5,44.8,1.852,0.0,0.6,1242.6,10.03,DO_NOTHING,BASELINE,0
4.0,45.5,1.920,0.0,0.6,1243.3,10.29,DO_NOTHING,BASELINE,0
4.5,54.5,1.731,0.0,1.3,1289.6,10.83,DO_NOTHING,BASELINE,0
5.0,52.0,1.761,0.3,1.4,1439.6,10.63,DO_NOTHING,BASELINE,0
5.5,47.9,1.905,0.0,0.8,1098.3,10.77,DO_NOTHING,BASELINE,0
6.0,39.8,2.094,0.0,0.3,1190.9,10.12,DO_NOTHING,BASELINE,0
6.5,43.6,2.030,0.0,0.4,1002.2,10.40,DO_NOTHING,BASELINE,0
7.0,45.9,1.995,0.1,0.6,1320.6,10.60,DO_NOTHING,BASELINE,0
7.6,42.5,2.094,0.0,0.4,1059.5,10.29,DO_NOTHING,BASELINE,0
8.1,44.4,2.014,0.0,0.5,1121.4,10.56,DO_NOTHING,BASELINE,0
8.6,40.2,2.093,0.0,0.2,1156.2,10.22,DO_NOTHING,BASELINE,0
9.1,46.0,1.974,0.0,0.7,1181.7,10.64,DO_NOTHING,BASELINE,0
9.6,45.2,1.977,0.0,0.6,1345.3,10.47,DO_NOTHING,BASELINE,0
10.1,62.8,1.673,0.1,2.0,1300.0,11.84,DO_NOTHING,BASELINE,0
10.6,71.5,1.592,0.1,2.4,1386.1,11.77,DO_NOTHING,BASELINE,0
11.1,49.7,1.918,0.1,1.0,1400.0,10.67,DO_NOTHING,BASELINE,0
11.6,55.6,1.807,0.0,1.3,1272.2,11.05,DO_NOTHING,BASELINE,0
12.1,53.2,1.868,0.0,1.1,1300.4,11.43,DO_NOTHING,BASELINE,0
12.6,59.0,1.749,0.0,1.6,1396.7,11.74,DO_NOTHING,BASELINE,0
13.1,63.7,1.669,0.3,2.0,1275.0,11.86,DO_NOTHING,BASELINE,0
13.6,53.7,1.776,0.0,1.3,1230.8,11.07,DO_NOTHING,BASELINE,0
14.1,64.5,1.654,0.4,2.5,1376.6,12.14,DO_NOTHING,BASELINE,0
14.6,68.6,1.649,0.3,1.8,1397.4,12.21,DO_NOTHING,BASELINE,0
15.1,44.8,1.997,0.1,0.8,1368.1,10.66,DO_NOTHING,BASELINE,0
