util,mhz,ipc,t,scenario
14.9,432.0,2.36,0.032959099000436254,idle
19.83,523.0,2.61,1.038039289000153,idle
26.71,602.0,2.23,2.046917471998313,idle
23.08,468.0,2.38,3.0561583019953105,idle
21.94,520.0,2.45,4.064142603994696,idle
20.96,508.0,2.51,5.072173057000327,idle
19.51,504.0,2.63,6.081078562994662,idle
19.8,511.0,2.61,7.0900897850006,idle
19.81,503.0,2.61,8.098005173000274,idle
20.62,519.0,2.52,9.106813103993773,idle
20.41,505.0,2.56,10.112644618995546,idle
23.41,517.0,2.38,11.119173254999623,idle
19.92,497.0,2.61,12.12302351299877,idle
19.65,504.0,2.62,13.127188604994444,idle
44.17,720.0,2.17,0.13872324499971,light
49.73,648.0,2.08,1.143383647002338,light
45.47,712.0,2.21,2.1533115540005383,light
47.42,646.0,2.32,3.175447103996703,light
45.2,489.0,2.26,4.184369329996116,light
45.58,706.0,2.42,5.194661253000959,light
46.94,717.0,2.26,6.20300645899988,light
52.37,737.0,2.01,7.212711610998667,light
53.79,677.0,2.11,8.21870457699697,light
66.76,787.0,1.76,9.225186639996537,light
63.35,727.0,1.99,10.23197900899686,light
58.39,708.0,2.32,11.23896561699803,light
66.59,770.0,1.95,12.245554902998265,light
55.55,699.0,2.45,13.254469917999813,light
68.69,1027.0,1.7,0.3219009339954937,medium
69.73,1057.0,1.74,1.3307630389972473,medium
69.11,1086.0,1.76,2.339959786993859,medium
69.79,1097.0,1.73,3.348976720000792,medium
69.43,1090.0,1.73,4.359746157999325,medium
69.96,1097.0,1.76,5.36875933400006,medium
69.19,1092.0,1.75,6.376986070994462,medium
70.38,1101.0,1.72,7.386732842998754,medium
69.34,1087.0,1.77,8.396586534996459,medium
69.34,1095.0,1.75,9.405743196999538,medium
69.46,1091.0,1.75,10.413967282998783,medium
69.86,1092.0,1.74,11.424885480999365,medium
69.14,1089.0,1.76,12.43381087599846,medium
70.09,1061.0,1.73,13.444966899995052,medium
99.77,1488.0,0.91,1.5273654959964915,heavy
99.77,1285.0,0.9,2.5350333280002815,heavy
99.77,1771.0,0.91,3.5433402269991348,heavy
99.77,1788.0,0.91,4.55177706899849,heavy
99.77,1798.0,0.91,5.562044045997027,heavy
99.77,1622.0,0.95,6.570128248997207,heavy
99.77,1598.0,0.94,7.577938450995134,heavy
99.77,1776.0,0.92,8.585919473000104,heavy
99.77,1545.0,0.99,9.601121630999842,heavy
99.77,1037.0,1.04,10.60632731399528,heavy
99.77,1743.0,0.93,11.615153370999906,heavy
99.77,1781.0,0.94,12.626062039998942,heavy
99.77,1773.0,0.96,13.631478994997451,heavy
99.77,893.0,1.37,0.7023929569986649,burst
99.64,977.0,1.46,1.7214041979968897,burst
99.77,1099.0,1.31,2.728062135000073,burst
99.77,1011.0,1.23,3.780306925997138,burst
99.77,1015.0,1.34,4.793590046996542,burst
99.74,1054.0,1.26,5.811201473996334,burst
99.77,1010.0,1.27,6.827965541997401,burst
99.77,1006.0,1.48,7.838770832000591,burst
99.76,1155.0,1.35,8.866951988995424,burst
99.76,1114.0,1.26,9.882173635996878,burst
99.77,1129.0,1.27,10.892947893000382,burst
99.77,1048.0,1.19,11.908218803000636,burst
99.74,1113.0,1.13,12.925147182999353,burst
